"","Region","DataYear","ClassGrade","Gender","Ageyears","Sleep_Hours_Schoolnight","Sleep_Hours_Non_Schoolnight","Schoolwork_Pressure","Superpower","Handed","Travel_to_School","Travel_time_to_School","Left_Footlength_cm","Longer_Finger_Lefthand","Home_Internet_Access","Communication_With_Friends","Text_Messages_Sent_Yesterday","Text_Messages_Received_Yesterday","Hanging_Out_With_Friends_Hours","Doing_Homework_Hours","Doing_Things_With_Family_Hours","Outdoor_Activities_Hours","Social_Websites_Hours","Texting_Messaging_Hours","Watching_TV_Hours","Planned_Education_Level","Favorite_Music"
"372","SC",2018,11,"Female",17,8,7,"A lot","Fly","Right-Handed","Car",1,"24","Index finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",18,18,119,14,7,56,56,7,25,"Undergraduate degree","Other"
"373","ID",2018,12,"Female",20,6,6,"A lot","Telepathy","Right-Handed","Walk",2,"","Index finger","Yes - other","Text messaging",20,20,100,120,90,70,10,30,60,"Undergraduate degree","Gospel"
"377","ID",2017,12,"Male",16,7,10.5,"Some","Telepathy","Right-Handed","Car",8,"32","Ring finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",10,8,6,4,72,4,100,90,40,"Graduate degree","Rap/Hip hop"
"378","MI",2018,9,"Female",15,6,9,"Some","Telepathy","Right-Handed","Car",60,"20","Ring finger","","Text messaging",20,26,2,24,10,2,3,3,2,"Graduate degree","Other"
"379","TX",2017,12,"Male",17,8,12,"Some","Freeze time","Right-Handed","Car",5,"24","Ring finger","Yes - broadband connection","Text messaging",50,60,4,5,4,2,5,5,3,"Graduate degree","Rock and roll"
"381","CA",2019,9,"Female",15,4,6,"A lot","Freeze time","Left-Handed","Car",11,"21","Ring finger","Yes - broadband connection","Text messaging",150,300,2,60,3,12,7,86,7,"Graduate degree","Rhythm and blues (R&B)"
"383","MO",2018,11,"Male",16,NA,NA,"None","Telepathy","Right-Handed","Car",2,"29","Index finger","Yes - broadband connection","Text messaging",5,5,100,50,30,130,58,30,0,"High school","Rap/Hip hop"
"384","CA",2017,7,"Female",12,7,9,"A lot","Invisibility","Right-Handed","Car",10,"10","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,3,5,0,8,6,2,2,"Some college","Other"
"392","NE",2018,12,"Female",16,8,11,"Very little","Invisibility","Right-Handed","Car",6,"24","Ring finger","Yes - other","Text messaging",21,9,2,3,10,0,8,3,5,"Graduate degree","Rap/Hip hop"
"395","NC",2017,12,"Male",17,7,8,"Very little","Super strength","Left-Handed","Car",7,"24","Same length","Yes - broadband connection","In person",3,3,5,3,2,2,1,1,2,"Graduate degree","Pop"
"397","CA",2018,12,"Male",17,6,9,"A lot","Freeze time","Ambidextrous","Car",6,"26.67","Ring finger","Yes - broadband connection","Text messaging",70,102,15,3,2,12,15,18,0,"Graduate degree","Gospel"
"403","CA",2017,7,"Male",12,10,11,"Very little","Freeze time","Right-Handed","Bicycle",4,"24","Ring finger","Yes - broadband connection","In person",1,1,2,3,2,11,0,1,1,"Some college","Pop"
"404","OH",2018,12,"Female",17,5,9,"A lot","Telepathy","Left-Handed","Car",7,"26","Ring finger","Yes - other","Cell phone",30,30,12,30,10,1,10,10,30,"Other","Rhythm and blues (R&B)"
"408","OK",2018,12,"Female",17,6,8,"Some","Telepathy","Left-Handed","Car",15,"23","Same length","Yes - other","Internet chat or instant messaging",100,200,NA,30,4,0,40,20,3,"Undergraduate degree","Rhythm and blues (R&B)"
"410","MI",2019,9,"Female",15,3,3,"Some","Invisibility","Right-Handed","Bus",NA,"","Index finger","Yes - other","Other",135,167,0,1,1,4,10,10,5,"Other","Rap/Hip hop"
"412","OH",2017,7,"Female",12,9,10,"Some","Telepathy","Right-Handed","Bus",10,"25","Ring finger","No internet connection","Text messaging",100,100,5,20,24,5,20,30,10,"Graduate degree",""
"413","IA",2018,8,"Female",13,8,6,"Some","Fly","Right-Handed","Car",4,"25","Same length","Yes - broadband connection","In person",70,50,2,3,2,4,2,2,1,"Graduate degree","Country"
"417","GA",2018,9,"Male",16,5,10,"Very little","Fly","Left-Handed","Bus",30,"10","Ring finger","Yes - dial-up connection","In person",50,100,1,1,1,4,0,3,5,"Some college","Rap/Hip hop"
"418","NJ",2017,12,"Male",17,7,8,"A lot","Freeze time","Right-Handed","Walk",15,"24","Ring finger","Yes - broadband connection","Text messaging",15,20,5,21,10,7,2,1,0,"Graduate degree","Techno/Electronic"
"419","MO",2018,7,"Female",12,8,9,"Very little","Telepathy","Right-Handed","Car",10,"24","Ring finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",20,16,10,1,9,4,12,18,3,"Graduate degree","Country"
"422","CA",2018,12,"Male",18,8,10,"A lot","Freeze time","Right-Handed","Car",15,"29","Same length","Yes - broadband connection","Text messaging",10,100,5,10,3,12,3,2,5,"Graduate degree","Pop"
"423","WI",2017,8,"Male",14,9,8,"A lot","","Right-Handed","Bus",10,"20","Ring finger","Yes - broadband connection","Text messaging",150,80,20,3,10,20,1,4,19,"Some college","Rap/Hip hop"
"425","AR",2018,7,"Male",13,8,2,"Some","","Right-Handed","Car",6,"24","Index finger","Yes - broadband connection","Cell phone",2,16,1,6,8,10,2,9,11,"Other",""
"426","NC",2018,11,"Female",17,6,9,"A lot","Fly","Right-Handed","Car",9,"23","Ring finger","Yes - broadband connection","Text messaging",70,70,20,35,10,10,5,10,2,"Graduate degree","Rap/Hip hop"
"428","NJ",2018,11,"Male",16,7,10,"Some","Freeze time","Right-Handed","Car",5,"28","Ring finger","Yes - other","Text messaging",4,10,15,2,8,14,30,2,20,"Graduate degree","Punk rock"
